30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DRY,<=1500
30,CLEAR,DAYLIGHT,ANGLE,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
10,CLEAR,DAYLIGHT,ANGLE,DRY,<=1500
30,OTHER,DAYLIGHT,PARKED MOTOR VEHICLE,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,PEDESTRIAN,DRY,<=1500
35,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
35,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,UNKNOWN,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,FIXED OBJECT,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,TURNING,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,TURNING,DRY,<=1500
30,CLEAR,DAYLIGHT,ANGLE,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
25,CLEAR,DAYLIGHT,TURNING,DRY,<=1500
30,CLEAR,DAYLIGHT,ANGLE,DRY,<=1500
45,CLEAR,DAYLIGHT,FIXED OBJECT,DRY,<=1500
30,CLEAR,DAYLIGHT,TURNING,DRY,<=1500
30,CLEAR,DAYLIGHT,ANGLE,DRY,<=1500
30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,OTHER NONCOLLISION,DRY,<=1500
30,CLEAR,DAYLIGHT,REAR END,DRY,<=1500
30,CLEAR,DARKNESS LIGHTED ROAD,ANGLE,DRY,<=1500
30,CLEAR,DARKNESS LIGHTED ROAD,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DRY,<=1500
35,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DRY,<=1500
30,CLEAR,DARKNESS LIGHTED ROAD,TURNING,DRY,<=1500
